,N,P,M,Y
0,488,937,1,2020
1,2913,7364,2,2020
2,3551,7158,3,2020
3,3183,7003,4,2020
4,3571,7079,5,2020
5,3614,6818,6,2020
6,3286,7731,7,2020
7,3287,6986,8,2020
8,3238,7286,9,2020
9,3311,7454,10,2020
10,2831,7624,11,2020
11,2871,7872,12,2020
12,2875,7715,1,2021
13,2538,6919,2,2021
14,2795,7670,3,2021
15,3302,6590,4,2021
16,3499,6620,5,2021
17,2695,7239,6,2021
18,2577,7732,7,2021
19,2700,7846,8,2021
20,2571,7501,9,2021
21,2977,7545,10,2021
22,2781,7328,11,2021
23,2653,7694,12,2021
24,2806,7231,1,2022
25,2678,6264,2,2022
26,2896,7334,3,2022
27,2887,7445,4,2022
28,2889,7846,5,2022
29,3003,7249,6,2022
30,2752,7924,7,2022
31,2815,8267,8,2022
